municipality,urban_file,year,population,lpcd_mean,lpcd_lower90,lpcd_upper90,annual_m3_mean,annual_m3_lower90,annual_m3_upper90,mean_monthly_m3,monthly_m3_lower90,monthly_m3_upper90,flag,n_overlap_years,cv_ratio
Guiguinto,Urban_3,2004,76745.4,62.36271828262306,71.7743540742591,196.2636645449714,1746908.8922858352,1729554.7031781664,5497751.705953921,145575.7410238196,144129.55859818053,458145.9754961601,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2005,79039.0,60.37463653254303,69.48623566973187,190.0069101822545,1741762.077366919,1724459.0178858724,5481554.003471753,145146.83978057659,143704.91815715603,456796.16695597937,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2006,81332.6,58.5293482177149,67.36246075220278,184.1995455133687,1737525.584401023,1720264.6112018705,5468221.203728522,144793.79870008526,143355.38426682254,455685.1003107102,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2007,83626.2,56.81200251633778,65.38593724852969,178.7948330517449,1734104.7379635945,1716877.7482287458,5457455.350729416,144508.72816363288,143073.1456857288,454787.945894118,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2008,85919.8,55.20945818968656,63.54154067493116,173.75141559327335,1731408.7461046744,1714208.5389643605,5448970.710284189,144284.06217538952,142850.71158036336,454080.89252368244,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2009,88213.4,53.82002125031461,61.942413157776016,169.3786750700099,1732891.1778353136,1715676.243881995,5453636.117628597,144407.5981529428,142973.0203234996,454469.6764690497,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2010,90507.0,58.23656696809041,67.02549364019177,183.27812446977427,1923848.1928020497,1904736.2485559783,6054602.922155838,160320.68273350413,158728.0207129982,504550.2435129865,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2011,92351.6,72.45815855908921,83.39337461879045,228.03534093141013,2442443.8097347384,2418180.019020656,7686691.4359198455,203536.98414456155,201515.00158505468,640557.6196599872,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2012,94196.2,86.67975015008801,99.76125559738911,272.79255739304597,2980189.6245970177,2950583.7450057277,9379048.137567993,248349.1353830848,245881.9787504773,781587.3447973328,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2013,96040.8,100.90134174108675,116.12913657598772,317.5497738546816,3537085.6373888887,3501947.426511191,11131673.02710029,294757.1364490741,291828.9522092659,927639.4189250241,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2014,97885.4,115.1229333320856,132.49701755458645,362.3069903163175,4113131.8481103536,4072271.063537048,12944566.104516737,342760.98734252946,339355.9219614207,1078713.8420430615,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2015,99730.0,129.34452492308438,148.86489853318508,407.0642067779533,4708328.256761409,4661554.6560833,14817727.369817328,392360.6880634508,388462.88800694165,1234810.614151444,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2016,102467.0,133.4322792460849,153.56956719143656,419.92890647811345,4990427.955490632,4940851.912429532,15705532.169933889,415868.996290886,411737.65936912765,1308794.3474944907,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2017,105204.0,137.52003358118156,158.2742358636097,432.79360621634174,5280695.028699238,5228235.4067048365,16619040.770160165,440057.9190582698,435686.2838920697,1384920.0641800137,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2018,107941.0,141.6077879081014,162.97890452637196,445.6583059288364,5579129.475624756,5523705.138154316,17558253.168096554,464927.456302063,460308.76151285967,1463187.7640080461,backcast_low,2.0,0.0099342267844094
Guiguinto,Urban_3,2019,110678.0,145.69554222791518,167.68357318095576,458.5230056189675,5885731.296285938,5827261.106796537,18523169.36380207,490477.6080238281,485605.09223304474,1543597.446983506,backcast_low,2.0,0.0099342267844094
