;,,,,,,,,,,,,
;,,,,,,,,,,,,
;Year,Month, Angat,Bulacan,Bustos,Plaridel,San Rafael,City of Malolos,Hagonoy, Baliwag,Calumpit,Guiguinto,Pandi
2016,1,215417,247239,300159,469232,226577,999109,690054,628099,523253,,89956
2016,2,215417,247239,300159,469232,226577,999109,690054,628099,523253,,89956
2016,3,215417,247239,300159,469232,226577,999109,690054,628099,523253,,89956
2016,4,215417,247239,300159,469232,226577,999109,690054,628099,523253,,89956
2016,5,215417,247239,300159,469232,226577,999109,690054,628099,523253,,89956
2016,6,215417,247239,300159,469232,226577,999109,690054,628099,523253,,89956
2016,7,199899,254594,284131,441556,223062,931727,617685,631470,560616,,93970
2016,8,199899,254594,284131,441556,223062,931727,617685,631470,560616,,93970
2016,9,199899,254594,284131,441556,223062,931727,617685,631470,560616,,93970
2016,10,199899,254594,284131,441556,223062,931727,617685,631470,560616,,93970
2016,11,199899,254594,284131,441556,223062,931727,617685,631470,560616,,93970
2016,12,199899,254594,284131,441556,223062,931727,617685,631470,560616,,93970
2017,1,234054,284086,333053,513193,261169,849625,700240,692042,572340,,106157
2017,2,234054,284086,333053,513193,261169,849625,700240,692042,572340,,106157
2017,3,234054,284086,333053,513193,261169,849625,700240,692042,572340,,106157
2017,4,234054,284086,333053,513193,261169,849625,700240,692042,572340,,106157
2017,5,234054,284086,333053,513193,261169,849625,700240,692042,572340,,106157
2017,6,234054,284086,333053,513193,261169,849625,700240,692042,572340,,106157
2017,7,236999,291368,319465,486675,271293,1197030,635304,673317,604230,,93968
2017,8,236999,291368,319465,486675,271293,1197030,635304,673317,604230,,93968
2017,9,236999,291368,319465,486675,271293,1197030,635304,673317,604230,,93968
2017,10,236999,291368,319465,486675,271293,1197030,635304,673317,604230,,93968
2017,11,236999,291368,319465,486675,271293,1197030,635304,673317,604230,,93968
2017,12,236999,291368,319465,486675,271293,1197030,635304,673317,604230,,93968
2018,1,239190,256220,358038,495684,300641,975523,744260,695538,600366,,93968
2018,2,239190,256220,358038,495684,300641,975523,744260,695538,600366,,93968
2018,3,239190,256220,358038,495684,300641,975523,744260,695538,600366,,93968
2018,4,239190,256220,358038,495684,300641,975523,744260,695538,600366,,93968
2018,5,239190,256220,358038,495684,300641,975523,744260,695538,600366,,93968
2018,6,239190,256220,358038,495684,300641,975523,744260,695538,600366,,93968
2018,7,221629,290027,344185,544985,264873,975523,662553,658939,612479,,93968
2018,8,221629,290027,344185,544985,264873,975523,662553,658939,612479,,93968
2018,9,221629,290027,344185,544985,264873,975523,662553,658939,612479,,93968
2018,10,221629,290027,344185,544985,264873,975523,662553,658939,612479,,93968
2018,11,221629,290027,344185,544985,264873,975523,662553,658939,612479,,93968
2018,12,221629,290027,344185,544985,264873,975523,662553,658939,612479,,93968
2019,1,255171,275622,374913,535155,339334,975523,743344,729124,580356,,134993
2019,2,255171,275622,374913,535155,339334,975523,743344,729124,580356,,134993
2019,3,255171,275622,374913,535155,339334,975523,743344,729124,580356,,134993
2019,4,255171,275622,374913,535155,339334,975523,743344,729124,580356,,134993
2019,5,255171,275622,374913,535155,339334,975523,743344,729124,580356,,134993
2019,6,255171,275622,374913,535155,339334,975523,743344,729124,580356,,134993
2019,7,268154,275622,370411,129390,337971,975523,690222,726373,604524,,124272
2019,8,268154,275622,370411,129390,337971,975523,690222,726373,604524,,124272
2019,9,268154,275622,370411,129390,337971,975523,690222,726373,604524,,124272
2019,10,268154,275622,370411,129390,337971,975523,690222,726373,604524,,124272
2019,11,268154,275622,370411,129390,337971,975523,690222,726373,604524,,124272
2019,12,268154,275622,370411,129390,337971,975523,690222,726373,604524,,124272
2020,1,278563,312512,405287,480071,337971,1867049,690222,757883,697029,,160620
2020,2,278563,312512,405287,480071,337971,1867049,690222,757883,697029,,160620
2020,3,278563,312512,405287,480071,337971,1867049,690222,757883,697029,,160620
2020,4,278563,312512,405287,480071,337971,1867049,690222,757883,697029,,160620
2020,5,278563,312512,405287,480071,337971,1867049,690222,757883,697029,,160620
2020,6,278563,312512,405287,480071,337971,1867049,690222,757883,697029,,160620
2020,7,238642,312512,386444,651720,337971,1651953,690222,784783,717369,,151011
2020,8,238642,312512,386444,651720,337971,1651953,690222,784783,717369,,151011
2020,9,238642,312512,386444,651720,337971,1651953,690222,784783,717369,,151011
2020,10,238642,312512,386444,651720,337971,1651953,690222,784783,717369,,151011
2020,11,238642,312512,386444,651720,337971,1651953,690222,784783,717369,,151011
2020,12,238642,312512,386444,651720,337971,1651953,690222,784783,717369,,151011
2021,1,308737,351922,403674,535403,337971,1482719,788476,808697,704989,,177357
2021,2,308737,351922,403674,535403,337971,1482719,788476,808697,704989,,177357
2021,3,308737,351922,403674,535403,337971,1482719,788476,808697,704989,,177357
2021,4,308737,351922,403674,535403,337971,1482719,788476,808697,704989,,177357
2021,5,308737,351922,403674,535403,337971,1482719,788476,808697,704989,,177357
2021,6,308737,351922,403674,535403,337971,1482719,788476,808697,704989,,177357
2021,7,261072,351922,374494,660012,337971,1447310,757080,747323,716598,,163523
2021,8,261072,351922,374494,660012,337971,1447310,757080,747323,716598,,163523
2021,9,261072,351922,374494,660012,337971,1447310,757080,747323,716598,,163523
2021,10,261072,351922,374494,660012,337971,1447310,757080,747323,716598,,163523
2021,11,261072,351922,374494,660012,337971,1447310,757080,747323,716598,,163523
2021,12,261072,351922,374494,660012,337971,1447310,757080,747323,716598,,163523
2022,1,307674,351922,402751,630516,380814,1484075,787493,793336,662171,,183176
2022,2,307674,351922,402751,630516,380814,1484075,787493,793336,662171,,183176
2022,3,307674,351922,402751,630516,380814,1484075,787493,793336,662171,,183176
2022,4,307674,351922,402751,630516,380814,1484075,787493,793336,662171,,183176
2022,5,307674,351922,402751,630516,380814,1484075,787493,793336,662171,,183176
2022,6,307674,351922,402751,630516,380814,1484075,787493,793336,662171,,183176
